,Score,Summary,Text
535339,5,Vegan Natural Choice,"Vegan. Natural. Traditional plain rye crispbread. Distinctive, but subtle, rye flavor note of the whole grain. Quite neutral and balanced crispbread flavor. Crunchy whole grain goodness. Light airy texture. Provides a good base for any jam, marmalade, or veggie & dressing toppings. Great with soups or bean side dishes. Softer than many harder and even crunchier crispbreads. 40 calories and 2g fiber per slice. Approx. 26 slices per box. Also really like <a href=""http://www.amazon.com/gp/product/B000FDDFV8"">Ryvita Whole Grain Rye Crispbread, Sesame Rye, 8.8-Ounce Boxes (Pack of 10)</a>. Product of Great Britain. This review is out there for those for whom this makes a difference. See all of my reviews and the vegancompassion Profile for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" & all the other helpful ""Vegan Grocery"" Listmania. Your input counts and will be greatly appreciated to benefit the search of others. Thank you."
16756,4,very good,"The taste of this was like a pop but it was very refreshing to the mouth.  I liked it because it was healthier than a pop , had great taste and it was very refreshing."
231479,5,Great syrup,This is one of the best values in organic maple syrup.  I purchased a case after trying a few jugs.  We love the stronger flavor of the Grade B.
184305,5,Delicious!,Love the Hazelnut flavored instant coffee. I'm not a coffee drinker but when I do drink/need coffee I go to this. I do wish it came in the canisters though as these packets are sometimes difficult to open especially when I'm still half-asleep in the morning.
219099,5,The cost is worth it for me!,"I'm on ""house arrest"" since I'm pregnant with twins and can't go to Costco anytime I want. So I wanted to get some snacks for my kids. I found what I needed here on Amazon and was very pleased. My kids LOVE these juice boxes and the four flavors are a nice variety. The boxes arrived in two days with Prime safe and sound. I know it costs more than a store, but when you're in a situation like I am, where you can't really get out whenever you want to, then this is a great alternative. Thank you, Amazon!"
394034,4,Not sure it helps much,"I mainly bought this because my son has fairly bad ADHD and I wanted to try more natural routes before things like medication. I am not sure it helps him that much at all, but I know it does help me calm down enough to get sleep when I remember to take it. Which is good, because my insomnia was driving me absolutely nuts!<br />I have to get more 100% cranberry juice, because I prefer this mixed in with juice than I do with water."
158438,5,My favorite Jelly Belly flavor,"I have been a huge fan of Jelly Bellys since I was a kid, which was about 25 years ago.  I have always had a favorite.  At first it was peach, then banana.  Juicy pear came along and that was my favorite for about ten years.  I thought nothing would top it, ever.  Then I tried red apple.  It is sweet and tart and really delicious, my new favorite flavor.  A ten pound box is surprisingly tempting and I am sorry they are currently all sold out."
75450,5,Excellent,This raw cocoa is wonderful. I put it in a whey smoothie with almond milk. I use coconut sugar and some coconut powder. Delicious.
121457,4,Crystal Light Pineapple Orange in packets,"Tastes good, but must use more than indicated to get the same full taste as the tubs in the canisters that they don't make or sell any more."
457676,5,"delicious nuts, great price","I was very pleasantly surprised by these nut.  I've been getting a lot of basil lately from my CSA and needed an inexpensive supply of pine nuts to make all that pesto.  I couldn't face buying them by the 4 oz jar at the supermarket.  I figured that as cheap as these nuts were they may be low grade but good enough for pesto.  I tried them and they were delicious all by themselves, very strong flavor and not the least bit stale."
157367,5,Life saver,"I was suffering from arrhythmia (irregular heart beat) and high blood pressure.  After extensive research and refusal to take any ""medicine"" (useless drugs) I started taking these minerals.  Both problems completely disappeared within a month!  These minerals also help me to get to sleep faster and stay asleep all night.<br /><br />I love this stuff and am a very satisfied customer."
336341,5,Natural goodness!,"I love that these are not only a very tasty treat for my dog, but also good for him, which I am all about!"
513927,5,great food,"We were researching for a good, reasonably priced food to feed our dogs.<br />Our senior dog developed diabetes last year and very quickly went blind.<br />We needed to switch them off Nutro, which they had been on for many years.<br />We were looking for something both our dogs would eat, with good ingredients. (Doberman and Doberman mix)<br />Our diabetic dog loves it and her levels stay within range while on this food.<br />It's great having this delivered directly to our door!"
558413,5,The best of the Tasty Bite meals!,"This is the best of the Tasty Bite Indian retort-packaged dishes.  It is moderately spicy and has a wonderful flavor of eggplant.  It is a bit oily, like some Indian foods can be at times.  The texture is sort of creamy/lumpy because of the eggplant seeds.<br /><br />It is wonderful with a little microwaved frozen broccoli added to bulk up the meal, along with brown rice and some frozen naan.  Yum!<br /><br />This same item is sold camouflaged at Trader Joe's."
282084,5,"Delicious, sophisticated, sublime","I love this stuff. I love limes- I find it the flavor a bit more complex than orange or lemon- and they make a wonderful marmalade. This marmalade isn't bitter like orange marmalade is, and isn't as tart/sweet as a lemon curd would be. A great subtle flavor, and much more grown-up flavor than a berry jam. A wonderful indulgence on a Sunday morning, it practically begs for crumpets and champagne."
378665,2,"Not so sweet or tasty, in my opinion","Everyone has their own taste.  I'm a huge fan of the Good Earth caffeine-free original tea, but my local stores stopped carrying it, so I tried this one from a big box store as a substitute.  The price was right, but it doesn't taste sweet or spicy, compared to the Good Earth."
563034,5,just like grandmas,"I just love the oatmeal raisein cookie it was super soft and delicious, i was amazed by the amount of raisens in it because there usually isnt enough in other brands. Not only did i love this cookie but my daughter loved it so much i had to go out and buy a box of them. Id def. reccomend these to any cookie lover, im a fan for life."
187714,5,"""Sturdy"" comes to mind as the best description!","If asked to sum up this coffee-pod drawer in one word, ""sturdy"" would be my enthusiastic answer. It is one hefty piece of metal sliding-drawer perfection - it weighed in at 4 lbs. 11 oz. on my postal scale!<br /><br />The drawers slide in and out with barely a hitch. Large rubber feet on the bottom means it stays put on your counter. The drawers have stops on the bottom so you won't accidentally pull  them out completely. And best of all, 36 K-cups fit in perfectly, nestling cozily in 3 individual rows per drawer thanks to 2 divider bars in each.<br /><br />Seriously, you can't go wrong with this product if you have only a couple of boxes of K-cups you need to store. So much more attractive than boxes! I do plan to eventually paint mine with metal spray-paint to complement my kitchen's color scheme."
561149,5,winner winner chicken dinner!,"My dog LOVES these.  She loves to chew on things and this is the first toy that she has not destroyed within the first week.  We have had the ball that these treats insert into for over 2 months and it still is like new.  The chicken flavor appears to be her favorite so far.  They will last several days if we don't take the toy away, longer if we limit her exposure or rotate toys. She will lick and lick and chew and chew for hours.  Inserting the treats is a bit difficult but not too bad. We have not had any problems with her removing the treat as others have described, my guess is that they are not getting the treat set into the ball correctly.  This chew toy is a keeper!"
347122,4,Good Basic Tea,"****<br />This is a good, albeit unexciting breakfast tea from Stash. It is made from blended black teas. I much prefer Stash's Organic Breakfast Tea and Stash's Irish Breakfast Tea because both of those have distinctive and pleasurable tastes. However, there is nothing wrong with Stash English Breakfast Tea and it is a good change from basic orange pekoe tea. It can be brewed nice and strong without getting bitter (by brewing it longer), a sign of a good quality tea. Recommended, especially if you enjoy a simple, basic tea.<br />****"
334447,4,great herbal tea selection,"Nice herbal tea selection.  No caffeine, thats just what I was looking for.  Another great peppermint tea.  Chamomile tea is nice too.  Again, got way too much lemon tea that just got passed on to friends and my mother."
255567,3,Interesting rejection,"It is interesting how I had written a review and it was rejected. I looked over the guidelines and there is nothing that was even close to a problem, so here is the benign rewrite of it:<br /><br />Pricing is just not that great considering I can buy it at full price at a number of local retailers for about 67-cents a bottle. If it was the same price or less, then I would consider buying it online. So until that happens, I will have to pass as this is not as good of a deal as it should be."
211564,5,Love it...,Best oilve oil ever.  Period Amen..<br />Way too expensive here.  You can get same size bottle for $19.99.
108498,5,Son's favorite fruit,"I know why--these things taste GREAT!<br /><br />I love the screw top pouches--all I do is grab a spoon, and squeeze a mouthful size amount into the spoon and feed it to my son.  I don't need a bowl to keep the product clean from baby spit.<br /><br />If anything, when he's done eating (if he doesn't eat the whole thing) all we're left with is one spoonful of food that is wasted."
440893,3,"convenient, low-acid, but a bit weak","The first thing that hit me is that these appear to be a low-acid gype of coffee....I didn't get that icky feeling some coffees give you after you drink them.  That is a definite plus.  But the coffee itself isn't that strong either.  I'm not into Kona or really deep flavors, I like just a medium blend.  But this still seemed weak.  It almost came across as coffee-tea than a strong cup of joe.<br /><br />I don't think I'd order this particular blend again."
156080,5,O M G this is HOTTTTTTT but I LOVE it!,"I use habanero pepper in a lot of my dishes but boyyy, this cayenne pepper is HOT! I am known for loving hot and spicy stuff! I used it for the first time last night and I think I underestimated the ""90,000 HU."" I poured in close to 1/4 of a cup (did not measure the amount) to what I was cooking and I can barely eat it without having to drink water and chew on crackers. It was as hot as ""blazing"" wings from Buffalo wild wings. And this might be TMI but whenever I ate this dish I cooked and I did a #1, I felt the tingling sensation as if the pepper in my mouth. So my conclusion is I think a little goes a long way."
552324,5,THE BEST,"This is absolutely THE BEST hot chocolate I've ever had!  It is so rich and chocolate-y.  We love it.  It is also delicious in a cup of coffee to make mocha.  You're going to love this and after you've had it, you'll never want any other kind of hot chocolate mix.  Enjoy....."
506367,1,Avoid these treats!!,"We got these at Costco, but same brand and size.  Our dog didn't get sick immediately, but a friend at the dog park mentioned some issues with this brand so we looked around and saw mixed reviews, but most of the really bad reviews were old (2007 or so), so we didn't stop giving them to her altogether, although we didn't give her many either, although she seems to love them.<br /><br />A few days/weeks went by, and then last week we noticed that she was peeing 3-4 times in the morning and in the evening, when she normally would go 1 or 2 times depending on how much running around she did.  At that point we decided to stop giving her any of these treats, and within a few days she was back to normal.  Since other people complaining about these treats mentioned renal failure, and urinating often is a sign of this condition, I'm assuming there's a direct connection as it was immediately after giving here these treats that she started having any issues/conditions with urination."
